Id,Ruolo,RuoloMantra,Giocatore,Squadra,PrezzoAttuale,PrezzoIniziale,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
4312,P,Por,Maignan,Milan,20,16,4,20,16,4,90,90
5841,P,Por,Svilar,Roma,19,15,4,19,15,4,101,101
4431,P,Por,Carnesecchi,Atalanta,18,14,4,18,14,4,62,62
2170,P,Por,Milinkovic-Savic V.,Napoli,18,4,14,18,4,14,45,45
6966,P,Por,Butez,Como,17,10,7,17,10,7,70,70
2814,P,Por,Provedel,Lazio,17,12,5,17,12,5,74,74
5876,P,Por,Di Gregorio,Juventus,16,16,0,16,16,0,68,68
2134,P,Por,Falcone,Lecce,16,6,10,16,6,10,38,38
761,P,Por,Audero,Cremonese,15,5,10,15,5,10,14,14
2428,P,Por,Sommer,Inter,13,16,-3,13,16,-3,57,57
4360,P,Por,Caprile,Cagliari,12,7,5,12,7,5,26,26
4236,P,Por,Muric,Sassuolo,12,3,9,12,3,9,15,15
2521,P,Por,De Gea,Fiorentina,11,14,-3,11,14,-3,18,18
6662,P,Por,Corvi,Parma,11,1,10,11,1,10,14,14
6462,P,Por,Okoye,Udinese,11,6,5,11,6,5,10,10
2722,P,Por,Ravaglia F.,Bologna,10,3,7,10,3,7,11,11
133,P,Por,Skorupski,Bologna,10,10,0,10,10,0,10,10
188,P,Por,Leali,Genoa,10,8,2,10,8,2,5,5
7332,P,Por,Bijlow,Genoa,10,10,0,10,10,0,12,12
2861,P,Por,Semper,Pisa,9,3,6,9,3,6,2,2
4957,P,Por,Montipò,Verona,9,5,4,9,5,4,3,3
572,P,Por,Meret,Napoli,8,16,-8,8,16,-8,15,15
6641,P,Por,Suzuki,Parma,8,7,1,8,7,1,10,10
5320,P,Por,Paleari,Torino,8,1,7,8,1,7,8,8
543,P,Por,Padelli,Udinese,4,1,3,4,1,3,1,1
218,P,Por,Perin,Juventus,3,1,2,3,1,2,1,1
5338,P,Por,Rinaldi,Parma,3,1,2,3,1,2,1,1
511,P,Por,Perilli,Verona,3,1,2,3,1,2,4,4
574,P,Por,Scuffet,Pisa,2,3,-1,2,3,-1,4,4
7179,P,Por,Israel,Torino,2,9,-7,2,9,-7,1,1
2297,P,Por,Rossi F.,Atalanta,1,1,0,1,1,0,1,1
4,P,Por,Sportiello,Atalanta,1,1,0,1,1,0,1,1
7172,P,Por,Pessina Mas.,Bologna,1,1,0,1,1,0,1,1
4929,P,Por,Ciocci,Cagliari,1,1,0,1,1,0,1,1
2809,P,Por,Vigorito,Como,1,1,0,1,1,0,1,1
