Giocatore,Posizione,Squadra,Gol
Malen,A,ROM,1
Jacobo Ramon,D,COM,1
Sucic P.,C,INT,1
Tourè I.,C,PIS,1
Lang,A,NAP,1
Folino,D,CRE,1
Vazquez,C,CRE,1
Iannoni,C,SAS,1
Piotrowski,C,UDI,1
Sorensen O.,C,PAR,1
Athekame,D,MIL,1
Buksa,A,UDI,1
Openda,A,JUV,1
Lorran,C,PIS,1
Fullkrug,A,MIL,1
Durosinmi,A,PIS,1
Norton-Cuffy,D,GEN,1
Fadera,A,SAS,1
Fofana Y.,C,MIL,1
Kossounou,D,ATA,1
Maripan,D,TOR,1
Atta,C,UDI,1
Hermoso,D,ROM,1
Solet,D,UDI,1
Tiago Gabriel,D,LEC,1
Ndour,C,FIO,1
Bernede,C,VER,1
Modric,C,MIL,1
Trepy,A,CAG,1
Kilicsoy,A,CAG,1
Idrissi R.,D,CAG,1
Kristensen T.,D,UDI,1
Payero,C,CRE,1
Camarda,A,LEC,1
Muharemovic,D,SAS,1
Dallinga,A,BOL,1
Miranda J.,D,BOL,1
Da Cunha,C,COM,1
Moreno Alb.,D,COM,1
Frese,D,VER,1
Thuram K.,C,JUV,1
Adzic,C,JUV,1
Benedyczak,A,PAR,1
Circati,D,PAR,1
Coco,D,TOR,1
Karlstrom,C,UDI,1
Celik,D,ROM,1
Fabbian,C,FIO,1
Lucumì,D,BOL,1
B. Dia,A,LAZ,1
Hien,D,ATA,1
Moro N.,C,BOL,1
Posch,D,COM,1
Ngonge,A,TOR,1
Comuzzo,D,FIO,1
Beukema,D,NAP,1
Bisseck,D,INT,1
Cheddira,A,LEC,1
Aaron Martin,D,GEN,1
Njie,A,TOR,1
Lucca,A,NAP,1
Baldanzi,C,ROM,1
Ricci S.,C,MIL,1
Ekuban,A,GEN,1
Miretti,C,JUV,1
Folorunsho,C,CAG,1
Samardzic,C,ATA,1
Johnsen,A,CRE,1
Dumfries,D,INT,1
Basic,C,LAZ,1
Holm,D,BOL,1
Ellertsson,C,GEN,1
Volpato,C,SAS,1
Frendrup,C,GEN,1
Gatti,D,JUV,1
Carlos Augusto,D,INT,1
Leris,C,PIS,1
Mazzitelli,C,CAG,1
Kelly L.,D,JUV,1
Gilmour,C,NAP,1
Pedro,A,LAZ,1
Loftus-Cheek,C,MIL,1
Y. Mina,D,CAG,1
Matic,C,SAS,1
Cutrone,A,PAR,1
Adopo,C,CAG,1
Lobotka,C,NAP,1
Delprato,D,PAR,1
Vojvoda,D,COM,1
Zalewski,C,ATA,1
Cambiaso,D,JUV,1
Ranieri L.,D,FIO,1
Sottil,C,LEC,1
Cristante,C,ROM,1
Mkhitaryan,C,INT,1
Zapata D.,A,TOR,1
Barella,C,INT,1
Gagliardini,C,VER,1
Bastoni,D,INT,1
Sanabria,A,CRE,1
Rrahmani,D,NAP,1
Bernardeschi,C,BOL,1
Cuadrado,D,PIS,1
Di Lorenzo,D,NAP,1
Luperto,D,CAG,1
Bremer,D,JUV,1
Isaksen,A,LAZ,2
Noslin,A,LAZ,2
Vitinha O.,A,GEN,2
Pavlovic,D,MIL,2
Ekkelenkamp,C,UDI,2
Ekhator,A,GEN,2
Perrone,C,COM,2
Conceicao,A,JUV,2
Konè M.,C,ROM,2
K. N’Dri,A,LEC,2
Sulemana K.,A,ATA,2
Meister,A,PIS,2
Belghali,D,VER,2
Stulic,A,LEC,2
Brescianini,C,FIO,1
Mckennie,C,JUV,2
Pobega,C,BOL,2
Tramoni M.,C,PIS,2
Lookman,A,ATA,2
Scalvini,D,ATA,2
Coulibaly L.,C,LEC,2
Casadei,C,TOR,2
Bartesaghi,D,MIL,2
Baschirotto,D,CRE,2
Thorstvedt,C,SAS,2
Berisha M.,C,LEC,2
Kostic,C,JUV,2
Banda,A,LEC,2
Cabal,D,JUV,2
Serdar,C,VER,2
Spinazzola,D,NAP,2
Pasalic,C,ATA,2
Malinovskyi,C,GEN,2
Gosens,D,FIO,2
Dybala,A,ROM,2
Cataldi,C,LAZ,2
Gaetano,C,CAG,2
Belotti,A,CAG,2
Thorsby,C,GEN,2
Felici,C,CAG,2
Kabasele,D,UDI,2
Bernabè,C,PAR,2
Piccoli,A,FIO,2
Saelemaekers,C,MIL,2
Terracciano F.,D,CRE,2
Ferguson E.,A,ROM,3
De Ketelaere,A,ATA,3
Cambiaghi,A,BOL,3
Laurientè,A,SAS,3
Borrelli,A,CAG,3
Dovbyk,A,ROM,3
Neres,A,NAP,3
Kempf,D,COM,3
Addai,A,COM,3
Baturina,C,COM,3
Esposito F.P.,A,INT,3
Giovane,A,VER,3
David,A,JUV,3
Konè I.,C,SAS,3
L. Pellegrini,C,ROM,2
De Bruyne,C,NAP,4
Odgaard,A,BOL,4
Ostigard,D,GEN,4
Zambo Anguissa,C,NAP,4
Vlasic,C,TOR,4
Gudmundsson A.,A,FIO,4
Nkunku,A,MIL,4
Vlahovic,A,JUV,3
Esposito Se.,A,CAG,3
Zaccagni,A,LAZ,3
Rabiot,C,MIL,3
Zielinski,C,INT,3
Adams C.,A,TOR,3
Nzola,A,PIS,3
Cancellieri,A,LAZ,3
Zaniolo,C,UDI,5
Dimarco,D,INT,5
Bonazzoli,A,CRE,5
Davis K.,A,UDI,5
Kean,A,FIO,5
Vardy,A,CRE,5
Mctominay,C,NAP,5
Colombo,A,GEN,5
Scamacca,A,ATA,5
Moreo,A,PIS,5
Krstovic,A,ATA,5
Bonny,A,INT,5
Douvikas,A,COM,5
Pinamonti,A,SAS,4
Berardi,A,SAS,4
M. Lautaro,A,INT,11
Pulisic,A,MIL,8
Leao,A,MIL,7
Calhanoglu,C,INT,7
Orsolini,A,BOL,7
Paz N.,C,COM,7
Mandragora,C,FIO,6
Soulè,A,ROM,6
Hojlund,A,NAP,6
M. Thuram,A,INT,6
Yildiz,A,JUV,6
Castro S.,A,BOL,6
Pellegrino M.,A,PAR,6
Orban G.,A,VER,6
Simeone,A,TOR,5
