nome,R,RM,club,QA,QI,Delta,FVM
Maignan,P,Por,Milan,20,16,4,85
Milinkovic-Savic V.,P,Por,Napoli,19,4,15,54
Svilar,P,Por,Roma,19,15,4,104
Carnesecchi,P,Por,Atalanta,17,14,3,57
Butez,P,Por,Como,17,10,7,58
Provedel,P,Por,Lazio,17,12,5,70
Di Gregorio,P,Por,Juventus,16,16,0,65
Audero,P,Por,Cremonese,15,5,10,15
Falcone,P,Por,Lecce,15,6,9,34
Sommer,P,Por,Inter,14,16,-2,65
Ravaglia F.,P,Por,Bologna,12,3,9,13
Caprile,P,Por,Cagliari,12,7,5,23
Corvi,P,Por,Parma,12,1,11,15
De Gea,P,Por,Fiorentina,11,14,-3,20
Leali,P,Por,Genoa,11,8,3,14
Paleari,P,Por,Torino,11,1,10,10
Muric,P,Por,Sassuolo,11,3,8,12
Skorupski,P,Por,Bologna,10,10,0,13
Okoye,P,Por,Udinese,10,6,4,9
Bijlow,P,Por,Genoa,10,10,0,14
Suzuki,P,Por,Parma,9,7,2,10
Semper,P,Por,Pisa,9,3,6,5
Montipò,P,Por,Verona,9,5,4,5
Meret,P,Por,Napoli,8,16,-8,10
Scuffet,P,Por,Pisa,4,3,1,5
Padelli,P,Por,Udinese,4,1,3,1
Perin,P,Por,Juventus,3,1,2,1
Rinaldi,P,Por,Parma,3,1,2,1
Perilli,P,Por,Verona,3,1,2,3
Israel,P,Por,Torino,2,9,-7,1
Rossi F.,P,Por,Atalanta,1,1,0,1
Sportiello,P,Por,Atalanta,1,1,0,1
Pessina Mas.,P,Por,Bologna,1,1,0,1
Ciocci,P,Por,Cagliari,1,1,0,1
Vigorito,P,Por,Como,1,1,0,1
Nava,P,Por,Cremonese,1,1,0,1
Christensen O.,P,Por,Fiorentina,1,1,0,1
Siegrist,P,Por,Genoa,1,1,0,1
Sommariva,P,Por,Genoa,1,1,0,1
Di Gennaro,P,Por,Inter,1,1,0,1
Martinez Jo.,P,Por,Inter,1,2,-1,1
Pinsoglio,P,Por,Juventus,1,1,0,1
Furlanetto,P,Por,Lazio,1,1,0,1
Mandas,P,Por,Lazio,1,3,-2,1
Fruchtl,P,Por,Lecce,1,1,0,1
Samooja,P,Por,Lecce,1,1,0,1
Terracciano,P,Por,Milan,1,1,0,1
Torriani,P,Por,Milan,1,1,0,1
Contini,P,Por,Napoli,1,1,0,1
Nicolas,P,Por,Pisa,1,1,0,1
Zelezny,P,Por,Roma,1,1,0,1
Gollini,P,Por,Roma,1,1,0,1
Satalino,P,Por,Sassuolo,1,1,0,1
Turati,P,Por,Sassuolo,1,7,-6,1
Sava,P,Por,Udinese,1,4,-3,1
Vasquez D.,P,Por,Roma,1,1,0,1
Nunziante,P,Por,Udinese,1,1,0,1
Lezzerini,P,Por,Fiorentina,1,1,0,1
Silvestri,P,Por,Cremonese,1,1,0,1
Toniolo,P,Por,Verona,1,1,0,1
Cavlina,P,Por,Como,1,1,0,1
Ferrante,P,Por,Napoli,1,1,0,1
Calligaris,P,Por,Inter,1,1,0,1
Tornqvist,P,Por,Como,1,1,0,1
Sherri,P,Por,Cagliari,1,1,0,1
Dimarco,D,E,Inter,29,19,10,131
Spinazzola,D,Ds;E,Napoli,20,7,13,50
Bastoni,D,Dc,Inter,17,16,1,54
Wesley,D,E,Roma,16,14,2,60
Palestra,D,E,Cagliari,15,3,12,44
Pavlovic,D,Dc,Milan,15,7,8,35
Ostigard,D,Dc,Genoa,15,5,10,28
Kempf,D,Dc,Como,14,5,9,10
Martin,D,Ds;E,Genoa,14,10,4,33
Holm,D,Dd;E,Bologna,13,8,5,21
Carlos Augusto,D,B;Ds;E,Inter,13,10,3,18
